"title","detailed text","publish date","topic","learn more url"
"SBTDC: Lawrence Fabric & Metal Structures, Inc. St. Louis, MO.","Lawrence Fabric & Metal Structures, Inc., a leader in the manufacture of awnings, canopies, tension structures, exhibit components, banners and industrial products, is responsible for some of the more notable architectural icons of St. Louis — the bright red bow wrapped around the St. Louis Science Center Planetarium during the holidays; the sleek awnings at Busch Stadium; and the bright, festive awnings of St. Louis Children's Hospital.
Just a few years ago, Lawrence wasn't sure it would be manufacturing much of anything, much less icons.
From 2007 to 2009, sales dropped 36 percent to an all-time low of $5 million in 2009, and the company was forced to lay off a substantial portion of its workforce. The company had been doing well, with 2007 sales of more than $8 million. But in the ensuing years, the recession magnified the disparity of cost from competition as the firm was heavily hit by cheap, imported awnings and industrial products sewn overseas.
So the company decided to enter the Trade Adjustment Assistance for Firms (TAAF) program, a matching U.S. Department of Commerce Economic Development Administration grant that boosts American manufacturers' ability to compete globally. TAAF, a sister initiative of the MO SBTDC, is administered by the Mid-America Trade Adjustment Assistance Center (TAAC) to help manufacturers in Missouri, Kansas and Arkansas — assistance that has resulted in millions of dollars of manufacturing production improvements and increased sales. In this case, it was TAAF project manager Rebecca Nace who stepped to the plate to assist Lawrence.
Nace and Lawrence agreed that the firm needed to respond to the flood of imports decisively and began an earnest review. Detailed consultations over a period of a few months revealed the company needed a wage analysis and should offer additional training for their workforce, particularly in a specialized software suite called CAD, which when implemented reduced cost and errors.
TAAF funds also assisted the firm with management training; additional production, marketing and sales improvements; engineering to improve products; exploring product lines less susceptible to foreign competition; and upgrading software systems.
Perhaps the most dramatic upgrade, however, was provided by another icon, Boeing.
In 2011, Boeing approached Lawrence asking if the firm could become ISO certified. Because of TAAF funding, the company responded positively and immediately began the process of becoming ISO certified. Boeing then responded with increased and larger orders, resulting in an immediate sales increase of about $1 million.
Lawrence was ISO certified at the end of 2012 and expects more orders from Boeing and other clients who require ISO certification. Currently, Lawrence has annual sales of more than $10 million, an amazing 96 percent increase in sales since participating in the TAAF program. The number of employees, which bottomed out at 37 individuals in 2009, is today 62 employees, a 68 percent increase.
Jerry Grimaud, president of Lawrence, says TAAF softened the hit of the recession and put it in a great position to compete during the recovery. Lawrence has now surpassed pre-recession sales and is looking toward another great year in 2013.
""There were many software programs available I knew would help our company survive and subsequently grow during the recession,"" says Grimaud. ""But it was very difficult to justify spending money when you are trying to tighten your belt and sales are dropping. TAAF was the catalyst that propelled me to make decisions I procrastinated about.
""Without TAAF, I would be two years behind, playing catch-up on market wages and software improvement. The supplement TAAF provided to help us attain ISO status was, without hesitation, the most substantial immediate contribution to our recent success as anything in the history of Lawrence.""
","February 26, 2013 - 12:30pm","","http://www.missouribusiness.net/sbtdc/success/index.asp" 
"SBTDC: Hufft Projects, LLC of Kansas City","Winston Churchill said, ""We shape our buildings, and afterwards our buildings shape us.""
And the shapes of Hufft Projects, LLC, have landed on the covers of top architectural and design magazines, museums and showrooms around the world.
Hufft Projects' clean, modern, neo-minimal private houses and commercial structures are redefining Midwestern architecture. Co-owner, CEO and architect Matthew Hufft and long-time designer friend Clayton Vogel also established Edwin Blue, a division of Hufft that designs and manufactures high-end contemporary furniture for residential and commercial use. Edwin Blue's modus operandi is handmade and modern — two words not often seen together. Edwin Blue is unique in the architectural world; very few design organizations also do component fabrication. Edwin Blue currently has representatives in Kansas City and New York.
According to their product catalog, Hufft and Vogel set out to design and build beautiful, functional and long-lasting furniture. ""Inspired by the reputation the United States once held as a nation that made things, Vogel and Hufft aspire to win that reputation back in some small measure with their collection of thoughtfully designed, handmade furniture,"" it reads.
Hufft and his wife, Jesse, plunged into the design world after attending New York's Columbia University graduate school and establishing a design firm in New York. They recognized a gap in contemporary area architecture design, and like good entrepreneurs, decided to fill that gap.
The Huffts initially received several large commissions to design contemporary, expensive homes in the Springfield and Joplin areas. One of those residential projects was for a prominent real estate developer, who then contracted with them to provide architectural design on several multi-family projects.
Projects began to flow to Hufft from around the region. Another client, the owner of a small Midwestern restaurant chain, was so pleased with the Huffts' work that he commissioned them to do a number of new restaurants.
Missouri seemed to be appreciative of their talents. After careful consideration, the Huffts decided to move to Kansas City in 2006. It was a wise move. Relocating to Kansas City triggered a rapid expansion of the design portion of the business, enough that the principals added a fabrication division and Edwin Blue.
The Huffts were introduced to the University of Missouri-Kansas City SBTDC and business counselor Mark Allen in late 2011, when he was asked by another resource partner to review the company's financials and counsel the Huffts on another relocation, renovation or building purchase.
Allen reviewed the company's financial statements and recommended that the owners hold off on any physical expansion while they strengthened the company's financial position.
""The Huffts sincerely wanted to understand their obstacles to growth and profitability,"" says Allen. ""Growth was not a problem, but profitability was not meeting their expectations. The principal service I performed for them was as a resource provider and counselor, presenting options for decision-making and information on how those options may come out.""
Allen introduced the Huffts to three lenders, one of which became their local bank. He also met with the firm's management team to redefine roles, analyze strengths and weaknesses and define the company's strategic direction and goals as well as consider options for employee ownership. He was also helpful in providing introductions to customers and suppliers.
The result of these efforts is undeniable.
From 2010-11, company revenues grew from $850,000 to $1.5 million and this year will eclipse $2 million. In that same timeframe, the company grew from 13 to 24 full-time jobs plus additional part-time help. The Hufft team is largely composed of young, vibrant designers energized by the high performance level and pace of their work, and the Huffts expect to grow even more.
Success doesn't always breed awareness, but it has in Hufft's case. Hufft realized that, as much as he enjoys designing, the firm needed a true CEO and that he was the best candidate.
As CEO, Hufft and the firm's marketing director now work on benchmarks and timelines. Hufft says he balances his management with his practitioner role, allowing him to spend more time developing new business and visions for daily living. Increasingly, he says, that vision includes green and sustainable elements.
""Sustainable design is morphing our practice at 110 miles per hour,"" he says. ""I feel like the attitude has changed from clients saying they want to be different and green to just expecting the house to be efficient.""
","February 26, 2013 - 12:15pm","","http://www.missouribusiness.net/sbtdc/success/index.asp" 
"SBTDC:  FINSPEED of Moberly--High-Performance Auto Parts Maker","Small businesses are a lot like families. They need a place to call home.
And so it is with FINSPEED of Moberly. The company manufactures and distributes high-performance parts and accessories for sports car owners and enthusiasts. Among the parts it makes are wheels, enclosed clutches, seats and oil coolers.
""We can serve the full range from the vintage Mustang of an amateur enthusiast to the latest Ferrari that runs at Le Mans,"" says Daniel Finke, founder and president of FINSPEED.
When they started the business in 2009 Daniel and his wife, Stacie Finke, used their home in Columbia as the headquarters for their business. Initially all parts manufacturing was contracted with a Daytona Beach, FL, firm.
However, being a small customer at the mercy of a large manufacturer wasn't satisfactory for FINSPEED. Production lead times usually dragged. Daniel soon realized he needed to bring production in-house if he was to meet his customers' needs. But his garage in Columbia wasn't the place to set up shop.
Last year the Finkes began scouting the mid-Missouri area for a home for FINSPEED. They searched all over Columbia, in Fulton and as far east as Bowling Green, in addition to many other locations in central Missouri. Finding the right spot was difficult.
As the search continued, Stacie's father, Leo Himmelberg, offered an idea. Himmelberg, a former farmer in Glasgow who is now in the banking business, suggested his daughter and son-in-law give Moberly a serious look. The banker had a couple of contacts there: Cory Mehaffy, president of the Moberly Area Economic Development Corp. (MAEDC), and Danny Lobina, director of the Small Business & Technology Development Center (SBTDC) at Moberly Area Community College (MACC).
After meeting Mehaffy, the Finkes started looking seriously at Moberly. They found a workable site in an industrial area on the south side of town. The owner of the building, Jim Roberts, offered a good lease deal. Lobina offered sound business counseling from the local SBTDC. The overall combination was irresistible to the Finkes, who formally moved their business to Moberly last July.
""They made us feel welcome,"" recalls Daniel.
Among the suggestions Lobina made was to ensure the business had an eight-to-nine-month cash reserve instead of the usual six-month cushion demanded by most lenders. After completing their loan package with Commerce Bank, the Finkes found the extra reserve helpful when equipment delays occurred. Parts for one of the machines necessary for wheel cutting arrived several months late from a foreign supplier, a victim of the 2011 earthquake and tsunami in northeastern Japan.
""That was the kind of unforeseen problem Danny Lobina urged us to consider when calculating the cash reserve we would need,"" remembers Daniel. ""He sure was right.""
Today FINSPEED is making products in-house, currently focusing on producing wheels. Virtually the entire current inventory is spoken for. Product line expansion will come in the next few months as the manufacturing crew grows.
""We're finally off the ground and serving our customers across the country and around the world,"" says the company founder. ""It's been a little bit of a roller coaster ride.""
Current plans call for the plant to be at single-shift maximum production by the end of September. If all goes well, a second shift should be in full operation by January 2013.
The Moberly location is working well for FINSPEED, says Daniel: ""If the advice we received from Cory and Danny hadn't been sound, we wouldn't be here. It was good advice we could count on. Now we're making the most of it.""
","February 26, 2013 - 11:45am","","http://www.missouribusiness.net/sbtdc/success/index.asp" 
"SBTDC: Northwest Missouri Manufacturer Recycles Tires in New Process for Carbon Black Production","A manufacturing revolution has arrived in northwest Missouri. Ray Riek, CEO of Carbolytic Materials Co. and his operations staff in Maryville are applying a recently developed proprietary method to produce carbon black, a substance much like graphite with a multitude of applications in everyday products.
The extraordinary manufacturing process has brought a new production plant and a couple of dozen manufacturing jobs to northwest Missouri in the past year.
Carbon black is among the 50 top industrial chemicals produced worldwide. It's used as a reactant in rubber to provide abrasion resistance. Its primary use is in the manufacture of tires. In addition it has a variety of industrial rubber applications and it acts as a tinting agent in almost every product tinged black.
Until this new manufacturing process was developed, carbon black production relied on two manufacturing methods — furnace black and thermal black — which involve incomplete combustion of hydrocarbons from primarily petroleum-based sources.
CMC's new approach to carbon black production relies on discarded tires as the raw material. The process reduces the amount of used tires going to landfills while simultaneously recovering carbon black and oil.
The resulting product — ApexCM™ — possesses physical properties comparable to other types of carbon black. It comes in pellet or powder form. Applications include hoses, gaskets, belts, rubber boots, roofing material, bags, plastic pipe and sheet plastic in the automotive, agriculture, construction, electronics and industrial equipment markets.
Decades of experience in chemical engineering and R&D work in product development set the stage for Riek's latest venture.
He is a 30-year veteran of product and process research and development with the St. Louis-based Monsanto Co. After leaving Monsanto in 1997, Riek worked as a product commercialization consultant. It was during this stage of his career that Ray learned of a new technology for carbon black production.
""We assembled a team of folks with experience in the industrial chemical business in late 2006,"" recalls Ray. ""We are quite proud of what has been accomplished to this point by both the management team in building the company, and the operational team in Maryville in learning to operate a new technology and produce a product that has been well accepted.""
CMC's arrival in Maryville was based on a series of factors.
""Maryville was one of several sites we were considering for our first manufacturing facility,"" says Ray. Its proximity to several urban-based sources (Kansas City, Des Moines and Omaha) of the process's raw material (shredded tires) was a major advantage.
However, a more important consideration was the interest CMC received from local agencies and institutions.
""The reception and assistance we received from the city of Maryville, Nodaway County and Northwest Missouri State University was an unbeatable combination,"" says Ray. ""Frank Veeman (director of the NWMSU Small Business and Technology Development Center) and NWMSU were involved from the beginning. Indeed, they were instigators in getting us to investigate Maryville and see what the community had to offer.""
Among the pluses were laboratory facilities at NWMSU's newly established Center for Innovation and Entreprenurship (which also serves as home to the SBTDC), a prime location on the east side of town for CMC's plant; a pool of talented and dedicated labor; and sufficient financing secured with the help of Lee Langerock, Executive Director of the Nodaway County Economic Development Council.
In the spring of 2008, Riek and NWMSU President. Dean L. Hubbard announced CMC's plan to build its first plant in Maryville and to become the first tenant of NWMSU's CIE. Later that year CMC broke ground for its plant and began production in the summer of 2009. Today the 20,000-square-foot manufacturing facility employs 25 people while processing (and recycling) 15,000 tons of shredded tires annually. The company currently produces and sells 10 million pounds of ApexCM carbon black material and two million gallons of recovered oil.
Ray says plans call for a doubling of capacity in the next 12 months at CMC's flagship facility in Maryville. The company's management team hopes to take the production model to other locations in the Midwest in the next few years.
""The University has been a great host, the county has helped connect us locally and with the state, and Frank helped make some critical introductions,"" Ray says. ""It all builds on itself.""
","February 26, 2013 - 11:30am","","http://www.missouribusiness.net/sbtdc/success/index.asp" 
"SBDC Client's Childhood Vision becomes Entrepreneurial Reality ","All kids are fascinated by Fourth of July fireworks displays. About 30 years ago a certain young farm boy in Polk County was no exception to that rule.
Since then that farm boy has proved it is an exceptional individual who knows at an early age what he wants to be when he grows up ... and then follows through and becomes exactly that.
""I absolutely loved fireworks as I was growing up on my folks' farm,"" says Aaron Mayfield. ""But it wasn't just the noise and bright lights that fascinated me ... it was the artistry of the whole experience. I knew early on I wanted to make this my life's work.""
Growing up as an only child on the 200-acre farm near Pleasant Hope, Aaron was relentless in his fascination with pyrotechnics. His parents didn't quite understand his single-minded determination, but as the years passed they helped mold it in an entrepreneurial direction.
Today Aaron is the owner and operator of A.M. Pyrotechnics LLC a few miles south of Buffalo, Mo. The company, which Aaron started in 1996 as a designer and developer of professional pyrotechnic displays, was created to meet local demand.
He began selling consumer fireworks in 1995 to help fund a large display he was creating for his church. The show drew more than 300 people. Word soon spread that Aaron produced a dazzling display. Other local groups asked him to produce shows for them. That led him to research the industry and his local market.
""I proceeded to acquire all the information I needed to meet legal requirements and then I began with three small displays ... for a local baseball team, a local church and a small private show.
After producing and performing those displays he realized this was the business for him. So he created a marketing plan, approached several large display coordinators and started A.M. Pyrotechnics.
""I achieved about $120,000 in sales that first year,"" he recalls. ""From that point on it's been nothing but increases. I still have my first dollar framed. The rest is now history.""
That history over the past 14 years has been anchored by Aaron's philosophy of providing nothing but high-quality displays with top-quality material for the viewing public. While many pyrotechnic practitioners in the U.S. emphasize audible salutes and ""loud boomers"" in their displays, Aaron has always been most concerned with the artistic choreography of pyrotechnics.
""For the displays I design to music, I take the sound track and I match the musical notes to within one-tenth of a second with the fireworks explosions,"" says Aaron. ""When a client completely turns control over to me on a musical fireworks display, I can evoke emotions in the crowd to the point of tears one minute, and laughter another.""
He believes some of the best expressions of his work have appeared at international firework conventions and competitions. Among his peers, Aaron is considered one of the top pyro-musical choreographers in the world. He's been repeatedly asked to produce the display finales for several international conventions in the U.S.
It is this uncompromising emphasis on high-quality displays that recently led Aaron to make a significant change is his business. Last year he decided to move into manufacturing commercial-level pyrotechnics. To achieve the quality product he needed, Aaron enticed long-time friend and industry legend Bill Page from California.
Aaron and Bill met 10 years ago at an international competition: ""I saw two particular shells that appeared to be a considerable notch above all the others I had seen at the convention. I set out to find the man who produced those shells and it was Bill Page.""
The pair maintained contact through the years and Page now works for Aaron, producing ""some of the highest quality fireworks in the world.""
With quality production standards assured, Aaron proceeded to assemble a facility and gather a well-trained manufacturing staff.
""I wanted to bring manufacturing back to the good old USA. We can do it better, much better, and I could provide jobs to a lot of locals,"" boasts Aaron. ""Our technology is a cut above the Chinese, and I always strive to have the highest quality fireworks, not the cheapest.""
However, as he stretched the business, Aaron encountered challenges. A local bank pointed him to the Small Business and Technology Development Center experts at Missouri State University in nearby Springfield for advice. There he worked with Isabel Eisenhauer, SBTDC business specialist. She helped Aaron address some of the challenges of growth, such as managing more people.
""It is difficult to manage a lot of personalities, and keep everyone super safe. The SBTDC has helped me through a lot of the structuring,"" says Aaron.
""But I would say the #1 helping factor was detailed training in creating a business plan for the growth. Few people know how large a task creating a business plan is. Isabel also helped with accounting issues and banking needs. It's tough in today's banking market, and Isabel is helping through many issues with this.""
So by using his natural inclinations, the talents of professionals like Bill Page and Isabel Eisenhauer, and the eager and disciplined workforce in his native southwest Missouri, Aaron Mayfield is tackling the explosive growth of A.M. Pyrotechnics.
""I have entered into a new world of success with Isabel's help.""
","February 26, 2013 - 11:00am","","http://www.missouribusiness.net/sbtdc/success/index.asp" 
"Ex-Im Bank Insurance Supports Virginia Company's Rapid Growth","Exporter: Gatekeeper Security — Sterling, Virginia
Destination: Worldwide
Ex-Im Bank Product: $750,000 Letter of Credit Insurance
Jobs Created: 2
Jobs Supported: Up to 30 contractors
Gatekeeper is a world leader in automatic under vehicle inspection and remote access control technologies and is actively involved in combating global terrorism. Its products are designed to provide the first line of defense against foreign and domestic threats. Gatekeeper sells internationally through resellers to other industries such as air and sea ports, oil refineries, and hydro and nuclear power plants.
The company started in 2004 and sales were flat until 2010 when demand increased. Gatekeeper, with four employees at the time, needed a positive cash flow to pay its many contractors as products typically took sixty to ninety days to build. This problem was resolved with Ex-Im Bank’s letter of credit insurance for lenders. The policy provided coverage to lender BB&T, giving it the required security to loan funds to Gatekeeper.
With a better cash flow, Gatekeeper was able to handle more orders. The company entered new countries beyond its initial customers in Russia, Iraq, Kuwait and Saudi Arabia, adding Indonesia, UAE, Bahrain, India, Qatar, Pakistan, Ukraine and more to its portfolio. Gatekeeper doubled sales in 2011 and intends to do likewise in 2012. These sales have led to the creation of 2 jobs since 2009 and have supported up to 30 contractors and their respective staffs.
Orders from resellers used to be up to three per order and now they have risen up to 20 per order. Gatekeeper’s future looks bright as terrorism and insecurity continue to grow worldwide.
“The Bank was a critical key partner in order to get financing as lenders required Exim’s guarantee for Letters of Credit, ”--- Richard Barcus, President
","January 24, 2013 - 11:30am","Letter of Credit Insurance","http://www.exim.gov/products/exportcreditinsurance/index.cfm, http://www.exim.gov/products" 
"Ex-Im Bank Financing Expands Texas Small Business into New Markets","Exporter: AR Chem Tex Industries LLC — Edinburg, TEXAS
Destination: Mexico and Venezuela
Ex-Im Bank Product: Export Insurance and Working Capital Loan
Jobs Supported: 1
AR Chem Tex Industries LLC, of Edinburg, Texas, wanted to expand into new foreign markets but didn’t have the ability to finance its product. The company’s president, Art Lopez, attended a Global Access forum in Weslaco, Texas, where he learned about Ex-Im Bank’s financing products for small business. After being approved for both an Ex-Im Bank working capital lender loan guarantee to cover a $500,000 loan from Frost National Bank’s loan and a $500,000 small business multi-buyer insurance policy, the company increased sales to Mexico and Venezuela and also expanded into Argentina and Colombia. 
AR Chem Tex exports chemical treatment products and equipment such as soap sticks for gas wells. Additionally, the company hired one new employee and plans to hire more as foreign sales increase.
“ One of the reasons we hadn’t expanded into new markets is because of limited capital and difficulty financing our products. Now that we have financing from Ex-Im Bank, we are selling in new markets in Latin America. ”--- Art Lopez, President
","January 24, 2013 - 11:00am","Export Insurance and Working Capital Loan","http://www.exim.gov/products/exportcreditinsurance, http://www.exim.gov/products/loanguarantee" 
"Pennsylvania Company Expands Sales from one to 60 Countries with Ex-Im Bank Insurance","Exporter: SB Global Foods, Inc. — Landsdale, PENNSYLVANIA
Destination: Worldwide
Ex-Im Bank Product: Export Credit Insurance
Export Sales: $45 million
Jobs Supported: 4
SB Global Foods is the manufacturer, distributor and exporter of its own line of gourmet pretzel snacks – Pretzel Pete®. It uses co-packers to make its branded products. The company also serves as the exporter (either directly selling or acting as the sales/marketing agent) for a variety of major U.S. confection, snack and grocery manufacturers (e.g., Pepperidge Farms).
Karl Brown, the founder of SB Global Foods in 1991, had exported only one pallet of ginger snap cookies to Germany until 1996 when he met an Ex-Im Bank export finance manager at a diner in Pennsylvania. His international sales have been booming ever since. The company is now exporting to more than 60 countries as the Bank’s multi-buyer export credit insurance has supported $45 million in sales over the last 15 years. In fact, 65 percent of the company’s total sales derives from exports.
“ If not for Ex-Im’s insurance, I don’t know how we would have grown our international business.  Open terms is critical and many large companies do not offer it. Plus, the policy gives me a peace of mind, ”--- Karl Brown, Owner 
","January 23, 2013 - 4:15pm","Export Credit Insurance","http://www.exim.gov/products/exportcreditinsurance, http://www.exim.gov/products" 
"Ex-Im Bank Support Saves Hundreds of Jobs in Syracuse, New York","Exporter: Sensis Corporation — Syracuse, New York
Destination: Worldwide
Ex-Im Bank Product: Working Capital Guarantee
Export Sales: $36 million
Jobs Supported: 300
Sensis is a leading provider of air traffic management (ATM) solutions and surveillance technologies serving the global civil aviation and defense industries. Its products offer air traffic surveillance and information as well as protection, safety and security to defense organizations with their radar subsystems.
The company, located in Syracuse with 700 employees, was in dire need of working capital as lenders were not willing to take much risk during the recession. Ex-Im Bank’s working capital guarantee gives lenders the protection and confidence they need in case their customer defaults on its loan. Thus, RBS Citizen’s Bank granted a $7.5 million working capital loan in 2007 as its risk was limited to just 10% of the loan. The vital cash flow enabled Sensis to increase its exports. In fact, three years later, RBS increased its revolving loan to $25 million to support about $36 million in exports. Hundreds of jobs were saved due to this loan.
Sensis is now known as “Saab Sensis” since being purchased in August, 2011. It is once again poised for growth and now represents Saab AB’s largest presence in North America. It also strengthens the product portfolio within radar, sensors, ATM, and defense systems development. This certainly would not have been possible if not for the role Ex-Im played since 2007.
“Ex-Im Bank’s support helped keep us afloat as the guarantee gave lenders the confidence to loan money to us,”- Sam Deeb, Controller
","January 23, 2013 - 1:30pm","","http://www.exim.gov/products/workingcapital, http://www.exim.gov/products" 
"Ex-Im Bank Export Insurance Saves Jobs at Hoffman Equipment in Piscataway, NJ ","Exporter: Hoffman Equipment — Piscataway, New Jersey
Destination: Worldwide – over 80 countries
Ex-Im Bank Product: Export Credit Insurance
Jobs Created: 15
Hoffman Equipment is a third-generation construction equipment company with deep ties to the New York metropolitan area. In 1920 Bill and Harry Hoffman purchased their first truck and founded Hoffman Motor Transportation to deliver roofing material for installers. During the '60s and '70s, the company began expanding internationally by delivering packages for construction projects overseas, so that all the vehicles and machines required for a project could be purchased and shipped from one single source.
Hoffman Equipment now exports to 80 countries, especially in sub-Sahara Africa, the Middle East, Latin America and Russia. Total export sales represent 20% of this $80 million major dealer and distributor of large U.S. manufactured equipment.
The company has been a customer of Ex-Im Bank for over ten years and attributes most of its export growth to this financing. In fact, in the spring of 2010 Hoffman's export credit insurance agency suddenly cancelled its policy, jeopardizing international sales. To address this problem, the company obtained Ex-Im Bank financing to cover pending transactions and, as a result, protected 15 jobs. Using its Ex-Im Bank policy, Hoffman also anticipates signing a $50 million deal with a buyer in Cameroon for 151 pieces of equipment; the project will support 65 existing jobs and create 41 new jobs.
“ The Bank's insurance gives me peace at night. Financing is critical to our business and Ex-Im Bank saved the company during the recession. The insurance allowed us to offer credit terms to our customers – that was the competitive edge. ”-- Ms. Musya Tumanyan, Senior Vice President
","January 22, 2013 - 3:00pm","Export Credit Insurance","http://www.exim.gov/products/exportcreditinsurance, http://www.exim.gov/products" 
"Missouri Company Discovers New Export Opportunities with Ex-Im Bank Insurance","Exporter: Western Forms, Inc. — Kansas City, MISSOURI
Destination: Mexico, India, and Colombia
Ex-Im Bank Product: $2 million Export Credit Insurance
Export Sales: $3 million
Jobs Supported: 9
Western Forms, Inc., a Kansas City, Missouri company, manufactures aluminum forming systems that are used in residential and commercial cast-in-place concrete building construction. Since being established in 1955, the company grew to over 300 employees. Yet due to the severe impact from the global economic slowdown in the construction industry in 2008, employment shrank to less than 70 employees. In 2009 Ex-Im Bank approved Western Forms for a $2 million short-term export credit insurance policy to enter new marketplaces. Employment has now rebounded to more than 100 employees. The broker for Western Forms is Leslie Bergland at Trade Acceptance Group (Edina, MN) which was recognized April, 2012 as the Bank’s Small Business Broker of the Year for 2012.
With the Bank’s insurance, the company has been able to increase its sales to emerging markets in Africa, the Middle East, Asia, Europe, and North, Central and South America. Daniel Ward, the company’s International Operations Manager, learned about export credit insurance by attending an Ex-Im Bank Global Access for Small Business forum in Kansas City. The insurance covers open account credit terms for its buyers as well as protects against the risk of buyer nonpayment.
“ Ex-Im Bank support is required by small family-owned companies like Western Forms. We rely on Ex-Im to help us manage the risk of extending credit to buyers outside the USA. With 60 percent of our sales coming from foreign markets, this support is not optional, it is mandatory. 
""We have used Ex-Im since 1995 to increase employment opportunities and expand future growth. ”- Daniel Ward, International Operations Manager
","January 22, 2013 - 1:30pm","Export Credit Insurance","http://www.exim.gov/products/exportcreditinsurance, http://www.exim.gov/products" 
"Minnesota Small Business Intends to Avoid Nonpayment Risk with Ex-Im Bank's Insurance","Exporter: IKONICS Corporation — Duluth, MINNESOTA
Destination: India, China
Ex-Im Bank Product: Export Credit Insurance
Jobs Supported: 73
IKONICS Corporation is an established small business that has thrived since 1952. They specialize in creating and transferring physical and visual images in a variety of industries. From traditional and high-tech screen printing and coated film to decorative and industrial etching and imaging, IKONICS conducts business in over 90 countries.
It was recognized by Fortune Magazine in 2005 as one of the fastest growing small companies in America with 72 employees and is now one of the leading companies in the development of imaging technologies. IKONICS wants to grow more but like most companies, they are concerned about the political and commercial risks associated with large transactions. Thus, they recently obtained a Single-Buyer Export Credit Insurance to insure a $225,000 line of credit on 90 day open account terms for a company in India to purchase film and chemical emulsions. This is IKONICS first experience with Ex-Im Bank and it may eventually use the Bank’s multi-buyer to enter more markets and cover more buyers.
“With the policy from Ex-Im Bank, we can continue to grow internationally without the risk factor ”- Jon Gerlach, Vice President of Finance and CFO
","January 22, 2013 - 12:45pm","Single-Buyer Export Credit Insurance","http://www.exim.gov/products/exportcreditinsurance/singlebuyer, http://www.exim.gov/products" 
"Technology Company in Georgia joins Ex-Im Bank to Expand Export Sales","Exporter: Brickstream Corporation — Norcross, Georgia
Destination: United Kingdom and Russia
Ex-Im Bank Product: Working Capital Guarantee
Export Sales: $6.2 million
Jobs Supported: 5
In October 2010, Brickstream was approved for a revolving working capital lender loan guarantee for a $2 million from Comerica Bank of Detroit that was quickly increased to $2.375 million in May, 2011. It supports $5 million in annual exports of Brickstream’s main product, programmed cameras that have smart video technology that capture and analyze information about in-store customer activity. Companies use the information to improve sales, service, and marketing.
Since joining Ex-Im Bank, the company has exported $6.2 million in sales with primary markets in the United Kingdom and Russia. Brickstream was founded in 1996 and employs 18 workers.
“International business creates specific banking and finance challenges; but the Export-Import Bank can resolve many of them.”-- Paul Williams, CFO
","January 11, 2013 - 12:45pm","Working Capital Guarantee ","http://www.exim.gov/products/workingcapital/" 
"Ex-Im Bank Insurance Policy Allows Newark Small Business to Sustain and Create Jobs"," Exporter: Delaware Intercorp — Newark, DELAWARE
Destination: China & Taiwan
Ex-Im Bank Product: Multi-Buyer Insurance
Jobs Supported: 12
Delaware Intercorp, a small business that provides professional services and corporate documentation, has retained 11 employees and is about to hire one more as a result of its partnership with Ex-Im Bank. Also, the company's sales increased approximately 5% since joining Ex-Im Bank in 2008.
Delaware Intercorp was most recently authorized a $100,000 multi-buyer insurance policy from Ex-Im Bank and has seen growth in their major export markets, China and Taiwan. One benefit of the policy is Ex-Im Bank assumes the credit and country risks that the private sector is unwilling or unable to accept.
“ We are very fortunate. What Ex-Im insurance policy has done for us is extend more competitive terms to buyers and mitigate our risk and it has absolutely contributed to our growth. ”
- Russell Rozanski, President
","January 10, 2013 - 5:00pm","Multi-Buyer Insurance ","http://www.exim.gov/products/exportcreditinsurance/multibuyer/" 
"Connecticut Firm Using Ex-Im Bank's New Product to Grow Export Sales Beyond China","Exporter: Xamax Industries Inc. — Seymour, CONNECTICUT
Destination: India, China
Ex-Im Bank Product: Export Credit Insurance
Jobs Supported: 73
Xamax Industries is a manufacturer of raw materials including rolled goods such as paper, plastic, and nonwoven fabrics. The materials are sold to manufacturers abroad where the final product is assembled. It was 200th small business to be approved for an Ex-Im Bank Express Insurance policy. This purchase resulted from a Global Access for Small Business forum in New Haven, Connecticut, at which Martin Weinberg, the company’s president, learned about Ex-Im Bank’s insurance product line. 
Mr. Weinberg was convinced that with this new Bank product, his company could extend open account terms to international buyers without elevating its risk of nonpayment. Accordingly, Xamax has been able to expand its foreign sales and workforce with this reliable tool. Express insurance streamlines the process of acquiring short-term insurance and enables small businesses to transfer foreign buyer credit decision making to Ex-Im Bank at an economical cost. The online application provides a policy quote and two foreign buyer credit decisions up to $300,000 within five workdays. Besides nonpayment protection, export insurance allows Xamax to provide credit terms up to 180 days for their buyers to pay and hence improve their cash flow.
“ We can extend better terms to our customers. For example, we now have a positive balance in China – in other words, we sell more in China than we purchase, which is basically unheard of. ”
- Martin Weinberg, President
","January 10, 2013 - 4:00pm","Export Credit Insurance ","http://www.exim.gov/products/exportcreditinsurance/" 
